"ISSCAAP","TAXOCODE","X3A_CODE","Scientific_name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","Stats_data","geometry"
11,"1400204202","HML","Hampala macrolepidota","Hampala barb","","","","","","Kuhl & Van Hasselt 1823","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400204203","IJM","Hampala salweenensis","","","","","","","Doi & Taki 1994","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204301","SVC","Hypophthalmichthys molitrix","Silver carp","Carpe argentée","Carpa plateada","","鲢","Толстолобик белый","(Valenciennes 1844)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400204302","BIC","Hypophthalmichthys nobilis","Bighead carp","Carpe à grosse tête","Carpa cabezona","","鳙","Толстолобик пестрый","(Richardson 1845)","Cyprinidae","CYPRINIFORMES","YES",""
11,"14002043XX","HXP","Hypophthalmichthys spp","Silver, bighead carps nei","Carpes nca","Carpas nep","","","","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400204401","BBB","Labeobarbus bynni","","","","","","","(Forsskål 1775)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204402","LUE","Labiobarbus leptocheilus","","","","","","","(Valenciennes 1842)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204403","LZF","Labiobarbus festivus","Signal barb","","","","","","(Heckel 1843)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400204404","LZQ","Labiobarbus fasciatus","","","","","","","(Bleeker 1853)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204405","LZW","Labiobarbus ocellatus","","","","","","","(Heckel 1843)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204406","JEG","Labiobarbus siamensis","","","","","","","(Sauvage 1881)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204601","ABT","Amblyrhynchichthys truncatus","","","","","","","(Bleeker 1851)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204701","ANY","Anabarilius polylepis","","","","","","","(Regan 1904)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204702","QNG","Anabarilius grahami","Kanglang fish","","","","鱇浪白魚","","(Regan 1908)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400204901","NMC","Notemigonus crysoleucas","Golden shiner","","","","","","(Mitchill 1814)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205001","CTT","Gibelion catla","Catla","","","","","Катля","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400205101","FCN","Osteochilus hasselti","Nilem carp","","","","","Остиохил Хассельта","(Valenciennes 1842)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400205102","OSE","Osteochilus melanopleurus","","","","","","","(Bleeker 1852)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205103","OSS","Osteochilus spilurus","","","","","","","(Bleeker 1851)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205201","PGC","Pogonichthys macrolepidotus","Splittail","","","","","","(Ayres 1854)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205301","PRJ","Probarbus jullieni","Isok barb","","","","","Карп Джульена (=пробарбус)","Sauvage 1880","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400205501","PTI","Ptychocheilus grandis","Sacramento squawfish","","","","","","(Ayres 1854)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205701","RAD","Rasbora daniconius","Slender rasbora","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205702","RSG","Rasbora elanga","","","","","","","Hamilton 1822","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205703","RST","Rasbora heteromorpha","Harlequin rasbora","","","","","","Duncker 1904","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205705","RSR","Rasbora rasbora","Gangetic scissortail rasbora","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205706","RSZ","Rasbora argyrotaenia","Silver rasbora","","","","","Расбора серебренная","(Bleeker 1850)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400205707","RSV","Rasbora einthovenii","Brilliant rasbora","","","","","","(Bleeker 1851)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205708","RWS","Rasbora elegans","Twospot rasbora","","","","","","Volz 1903","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205709","RRZ","Rasbora tawarensis","","","","","","","Weber & de Beaufort 1916","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205801","TYD","Thynnichthys sandkhol","","","","","","","(Sykes 1839)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400205802","TYT","Thynnichthys thynnoides","","","","","","","(Bleeker 1852)","Cyprinidae","CYPRINIFORMES","NO",""
